resultId,raceId,country,name,grandPrix,driverId,constructorId,number,grid,positionOrder,points,points,laps,time,fastestLapTime,fastestLapSpeed,statusId
634,48,Italy,"Autodromo Nazionale di Monza","Italian Grand Prix",1,1,2,2,2,8,8,53,6.062,01:22.9,251.456,1
638,48,Italy,"Autodromo Nazionale di Monza","Italian Grand Prix",3,3,16,8,6,3,3,53,+1:05.810,01:24.5,246.884,1
640,48,Italy,"Autodromo Nazionale di Monza","Italian Grand Prix",18,11,7,10,8,1,1,53,+1:02.168,01:24.5,246.708,1
658,49,Belgium,"Circuit de Spa-Francorchamps","Belgian Grand Prix",1,1,2,4,4,5,5,44,23.615,01:48.2,233.002,1
660,49,Belgium,"Circuit de Spa-Francorchamps","Belgian Grand Prix",3,3,16,5,6,3,3,44,+1:16.876,01:49.8,229.704,1
677,50,Japan,"Fuji Speedway","Japanese Grand Prix",1,1,2,1,1,10,10,67,00:34.6,01:28.2,186.259,1
702,51,China,"Shanghai International Circuit","Chinese Grand Prix",20,5,19,17,4,5,5,56,53.509,01:39.9,196.452,1
703,51,China,"Shanghai International Circuit","Chinese Grand Prix",18,11,7,10,5,4,4,56,+1:08.666,01:38.9,198.392,1
724,52,Brazil,"Aut�_dromo Jos̩ Carlos Pace","Brazilian Grand Prix",3,3,16,10,4,5,5,71,+1:02.848,01:13.2,212.036,1
744,53,Bahrain,"Bahrain International Circuit","Bahrain Grand Prix",30,6,5,1,2,8,8,57,1.246,01:32.5,210.576,1
746,53,Bahrain,"Bahrain International Circuit","Bahrain Grand Prix",18,11,12,3,4,5,5,57,19.992,01:32.7,210.109,1
749,53,Bahrain,"Bahrain International Circuit","Bahrain Grand Prix",3,3,10,12,7,2,2,57,+1:03.043,01:32.4,210.838,1
767,54,Malaysia,"Sepang International Circuit","Malaysian Grand Prix",18,11,12,2,3,6,6,56,9.631,01:35.6,208.723,1
770,54,Malaysia,"Sepang International Circuit","Malaysian Grand Prix",30,6,5,14,6,3,3,56,43.854,01:35.6,208.629,1
809,56,Italy,"Autodromo Enzo e Dino Ferrari","San Marino Grand Prix",30,6,5,1,1,10,10,62,31:06.5,01:24.6,210.961,1
815,56,Italy,"Autodromo Enzo e Dino Ferrari","San Marino Grand Prix",18,11,12,2,7,2,2,62,39.635,01:25.3,209.174,1
819,56,Italy,"Autodromo Enzo e Dino Ferrari","San Marino Grand Prix",3,3,10,13,11,0,0,62,+1:19.675,01:26.4,206.581,1
831,57,Germany,N�_rburgring,"European Grand Prix",30,6,5,2,1,10,10,60,35:58.8,01:32.1,201.226,1
837,57,Germany,N�_rburgring,"European Grand Prix",3,3,10,22,7,2,2,60,+1:14.565,01:33.6,198.044,1
854,58,Spain,"Circuit de Barcelona-Catalunya","Spanish Grand Prix",30,6,5,3,2,8,8,66,18.502,01:16.9,216.546,1
858,58,Spain,"Circuit de Barcelona-Catalunya","Spanish Grand Prix",18,11,12,8,6,3,3,66,58.347,01:17.4,215.301,1
879,59,Monaco,"Circuit de Monaco","Monaco Grand Prix",30,6,5,22,5,4,4,78,53.83,01:15.1,160.014,1
898,60,UK,"Silverstone Circuit","British Grand Prix",30,6,5,3,2,8,8,60,13.951,01:21.9,225.884,1
905,60,UK,"Silverstone Circuit","British Grand Prix",3,3,10,12,9,0,0,60,+1:19.008,01:22.9,223.209,1
920,61,Canada,"Circuit Gilles Villeneuve","Canadian Grand Prix",30,6,5,5,2,8,8,70,2.1,01:16.0,206.592,1
941,62,USA,"Indianapolis Motor Speedway","United States Grand Prix",30,6,5,1,1,10,10,73,34:35.2,01:12.7,207.527,1
963,63,France,"Circuit de Nevers Magny-Cours","French Grand Prix",30,6,5,1,1,10,10,70,32:07.8,01:17.1,205.931,1
985,64,Germany,Hockenheimring,"German Grand Prix",30,6,5,2,1,10,10,67,27:51.7,01:16.4,215.65,1
988,64,Germany,Hockenheimring,"German Grand Prix",18,11,12,4,4,5,5,67,18.8,01:16.8,214.356,1
1007,65,Hungary,Hungaroring,"Hungarian Grand Prix",18,11,12,14,1,10,10,70,52:20.9,01:25.1,185.236,1
1031,66,Turkey,"Istanbul Park","Turkish Grand Prix",30,6,5,2,3,6,6,58,5.656,01:28.0,218.36,1
1032,66,Turkey,"Istanbul Park","Turkish Grand Prix",18,11,12,6,4,5,5,58,12.334,01:28.5,217.202,1
1051,67,Italy,"Autodromo Nazionale di Monza","Italian Grand Prix",30,6,5,2,1,10,10,53,14:52.0,01:22.6,252.555,1
1055,67,Italy,"Autodromo Nazionale di Monza","Italian Grand Prix",18,11,12,5,5,4,4,53,32.685,01:23.5,249.704,1
1073,68,China,"Shanghai International Circuit","Chinese Grand Prix",30,6,5,6,1,10,10,56,37:32.7,01:38.6,199.117,1
1076,68,China,"Shanghai International Circuit","Chinese Grand Prix",18,11,12,4,4,5,5,56,72.056,01:39.2,197.806,1
1098,69,Japan,"Suzuka Circuit","Japanese Grand Prix",18,11,12,7,4,5,5,53,34.101,01:33.5,223.702,1
1119,70,Brazil,"Aut�_dromo Jos̩ Carlos Pace","Brazilian Grand Prix",18,11,12,14,3,6,6,71,19.394,01:13.1,212.344,1
1120,70,Brazil,"Aut�_dromo Jos̩ Carlos Pace","Brazilian Grand Prix",30,6,5,10,4,5,5,71,24.094,01:12.2,214.966,1
1165,72,Malaysia,"Sepang International Circuit","Malaysian Grand Prix",30,6,1,13,7,2,2,56,+1:19.988,01:37.0,205.757,1
